"Afghanistan",2
"Albania",2
"Algeria",2
"Andorra",2
"Angola",2
"Antigua and Barbuda",2
"Argentina",2
"Armenia",2
"Australia",2
"Austria",2
"Azerbaijan",2
"Bahrain",2
"Bangladesh",2
"Barbados",2
"Belarus",2
"Belgium",2
"Belize",2
"Benin",2
"Bermuda",2
"Bhutan",2
"Bolivia",2
"Bosnia and Herzegovina",2
"Botswana",2
"Brazil",2
"Brunei",2
"Bulgaria",2
"Burkina Faso",2
"Burundi",2
"Cambodia",2
"Cameroon",2
"Canada",2
"Cape Verde",2
"Central African Republic",2
"Chad",2
"Chile",2
"China",2
"Colombia",2
"Comoros",2
"Congo",2
"Costa Rica",2
"Cote D'Ivoire (Ivory Coast)",2
"Croatia",2
"Cuba",2
"Cyprus",2
"Czech Republic",2
"Democratic Republic of the Congo",2
"Denmark",2
"Djibouti",2
"Dominica",2
"Dominican Republic",2
"Ecuador",2
"Egypt",2
"El Salvador",2
"Equatorial Guinea",2
"Eritrea",2
"Estonia",2
"Eswatini",2
"Ethiopia",2
"Faroe Islands",2
"Fiji Islands",2
"Finland",2
"France",2
"Gabon",2
"Georgia",2
"Germany",2
"Ghana",2
"Greece",2
"Grenada",2
"Guatemala",2
"Guinea",2
"Guinea-Bissau",2
"Guyana",2
"Haiti",2
"Honduras",2
"Hong Kong S.A.R.",2
"Hungary",2
"Iceland",2
"India",2
"Indonesia",2
"Iran",2
"Iraq",2
"Ireland",2
"Israel",2
"Italy",2
"Jamaica",2
"Japan",2
"Jordan",2
"Kazakhstan",2
"Kenya",2
"Kiribati",2
"Kuwait",2
"Kyrgyzstan",2
"Laos",2
"Latvia",2
"Lebanon",2
"Lesotho",2
"Liberia",2
"Libya",2
"Liechtenstein",2
"Lithuania",2
"Luxembourg",2
"Madagascar",2
"Malawi",2
"Malaysia",2
"Maldives",2
"Mali",2
"Malta",2
"Mauritania",2
"Mauritius",2
"Mexico",2
"Micronesia",2
"Moldova",2
"Mongolia",2
"Montenegro",2
"Morocco",2
"Mozambique",2
"Myanmar",2
"Namibia",2
"Nauru",2
"Nepal",2
"Netherlands",2
"New Caledonia",2
"New Zealand",2
"Nicaragua",2
"Niger",2
"Nigeria",2
"North Korea",2
"North Macedonia",2
"Norway",2
"Oman",2
"Pakistan",2
"Palau",2
"Panama",2
"Papua New Guinea",2
"Paraguay",2
"Peru",2
"Philippines",2
"Poland",2
"Portugal",2
"Puerto Rico",2
"Qatar",2
"Romania",2
"Russia",2
"Rwanda",2
"Saint Kitts and Nevis",2
"Saint Lucia",2
"Saint Vincent and the Grenadines",2
"Samoa",2
"San Marino",2
"Sao Tome and Principe",2
"Saudi Arabia",2
"Senegal",2
"Serbia",2
"Seychelles",2
"Sierra Leone",2
"Singapore",2
"Slovakia",2
"Slovenia",2
"Solomon Islands",2
"Somalia",2
"South Africa",2
"South Korea",2
"South Sudan",2
"Spain",2
"Sri Lanka",2
"Sudan",2
"Suriname",2
"Sweden",2
"Switzerland",2
"Syria",2
"Taiwan",2
"Tajikistan",2
"Tanzania",2
"Thailand",2
"The Bahamas",2
"The Gambia",2
"Timor-Leste",2
"Togo",2
"Tonga",2
"Trinidad and Tobago",2
"Tunisia",2
"Turkey",2
"Turkmenistan",2
"Tuvalu",2
"Uganda",2
"Ukraine",2
"United Arab Emirates",2
"United Kingdom",2
"United States",2
"Uruguay",2
"Uzbekistan",2
"Vanuatu",2
"Venezuela",2
"Vietnam",2
"Virgin Islands (US)",2
"Yemen",2
"Zambia",2
"Zimbabwe",2,
"Badakhshan, Afghanistan",2
"Badghis, Afghanistan",2
"Baghlan, Afghanistan",2
"Balkh, Afghanistan",2
"Bamyan, Afghanistan",2
"Daykundi, Afghanistan",2
"Farah, Afghanistan",2
"Faryab, Afghanistan",2
"Ghazni, Afghanistan",2
"Ghōr, Afghanistan",2
"Helmand, Afghanistan",2
"Herat, Afghanistan",2
"Jowzjan, Afghanistan",2
"Kabul, Afghanistan",2
"Kandahar, Afghanistan",2
"Kapisa, Afghanistan",2
"Khost, Afghanistan",2
"Kunar, Afghanistan",2
"Kunduz Province, Afghanistan",2
"Laghman, Afghanistan",2
"Logar, Afghanistan",2
"Nangarhar, Afghanistan",2
"Nimruz, Afghanistan",2
"Nuristan, Afghanistan",2
"Paktia, Afghanistan",2
"Paktika, Afghanistan",2
"Panjshir, Afghanistan",2
"Parwan, Afghanistan",2
"Samangan, Afghanistan",2
"Sar-e Pol, Afghanistan",2
"Takhar, Afghanistan",2
"Urozgan, Afghanistan",2
"Zabul, Afghanistan",2
"Berat District, Albania",2
"Dibër County, Albania",2
"Durrës District, Albania",2
"Fier County, Albania",2
"Gjirokastër District, Albania",2
"Korçë County, Albania",2
"Kukës District, Albania",2
"Lezhë County, Albania",2
"Shkodër District, Albania",2
"Tirana District, Albania",2
"Vlorë County, Albania",2
"Adrar, Algeria",2
"Aïn Defla, Algeria",2
"Aïn Témouchent, Algeria",2
"Algiers, Algeria",2
"Annaba, Algeria",2
"Batna, Algeria",2
"Béchar, Algeria",2
"Béjaïa, Algeria",2
"Biskra, Algeria",2
"Blida, Algeria",2
"Bordj Bou Arréridj, Algeria",2
"Bouïra, Algeria",2
"Boumerdès, Algeria",2
"Chlef, Algeria",2
"Constantine, Algeria",2
"Djelfa, Algeria",2
"El Bayadh, Algeria",2
"El Oued, Algeria",2
"El Tarf, Algeria",2
"Ghardaïa, Algeria",2
"Guelma, Algeria",2
"Illizi, Algeria",2
"Jijel, Algeria",2
"Khenchela, Algeria",2
"Laghouat, Algeria",2
"M'Sila, Algeria",2
"Mascara, Algeria",2
"Médéa, Algeria",2
"Mila, Algeria",2
"Mostaganem, Algeria",2
"Naama, Algeria",2
"Oran, Algeria",2
"Ouargla, Algeria",2
"Oum El Bouaghi, Algeria",2
"Relizane, Algeria",2
"Saïda, Algeria",2
"Sétif, Algeria",2
"Sidi Bel Abbès, Algeria",2
"Skikda, Algeria",2
"Souk Ahras, Algeria",2
"Tamanghasset, Algeria",2
"Tébessa, Algeria",2
"Tiaret, Algeria",2
"Tindouf, Algeria",2
"Tipasa, Algeria",2
"Tissemsilt, Algeria",2
"Tizi Ouzou, Algeria",2
"Tlemcen, Algeria",2
"Andorra la Vella, Andorra",2
"Canillo, Andorra",2
"Encamp, Andorra",2
"Escaldes-Engordany, Andorra",2
"La Massana, Andorra",2
"Ordino, Andorra",2
"Sant Julià de Lòria, Andorra",2
"Bengo Province, Angola",2
"Benguela Province, Angola",2
"Bié Province, Angola",2
"Cabinda Province, Angola",2
"Cuando Cubango Province, Angola",2
"Cuanza Norte Province, Angola",2
"Cuanza Sul, Angola",2
"Cunene Province, Angola",2
"Huambo Province, Angola",2
"Huíla Province, Angola",2
"Luanda Province, Angola",2
"Lunda Norte Province, Angola",2
"Lunda Sul Province, Angola",2
"Malanje Province, Angola",2
"Moxico Province, Angola",2
"Uíge Province, Angola",2
"Zaire Province, Angola",2
"Barbuda, Antigua and Barbuda",2
"Saint George Parish, Antigua and Barbuda",2
"Saint John Parish, Antigua and Barbuda",2
"Saint Mary Parish, Antigua and Barbuda",2
"Saint Paul Parish, Antigua and Barbuda",2
